Continent,Region,Country3,Country Code,Year,Criminality Score,Criminal Markets Score,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drugs trade,Criminal Actors Score,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience Score,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,West Africa,Senegal,SEN,2019,4.60,4.45,5.0,4.5,3.5,7.0,6.5,4.5,2.5,3.5,5.0,2.5,4.75,3.5,5.5,4.0,6.0,6.04,6.0,5.0,6.0,6.5,6.0,7.0,6.5,6.5,6.0,5.0,5.0,7.0
Africa,Southern Africa,Seychelles,SYC,2019,3.93,3.60,4.0,3.5,2.5,3.0,6.0,1.0,6.5,2.5,3.0,4.0,4.25,2.0,4.5,4.0,6.5,5.38,6.5,6.5,6.0,6.0,5.5,7.0,4.5,3.5,3.5,4.0,5.5,6.0
Africa,West Africa,Sierra Leone,SLE,2019,5.00,5.00,5.0,2.5,5.0,6.5,6.5,7.0,2.0,4.0,7.0,4.5,5.00,1.0,5.5,7.0,6.5,3.33,3.0,2.5,4.0,2.5,3.0,4.0,4.0,3.0,3.0,2.5,3.0,5.5
Africa,East Africa,Somalia,SOM,2019,6.40,4.80,7.0,7.0,9.0,6.5,6.0,3.0,3.0,1.5,3.0,2.0,8.00,8.5,7.5,9.0,7.0,1.42,1.0,1.0,1.0,1.5,1.5,1.0,1.5,2.0,1.5,1.0,1.0,3.0
Africa,Southern Africa,South Africa,ZAF,2019,6.16,5.20,3.5,4.0,7.0,2.0,7.5,8.0,7.0,3.0,3.0,7.0,7.13,6.5,7.0,7.5,7.5,5.58,6.0,6.5,5.5,6.5,6.0,6.0,6.0,6.0,6.5,3.0,2.0,7.0
Africa,East Africa,South Sudan,SSD,2019,6.40,5.05,7.0,4.0,8.0,8.0,6.5,8.0,2.0,1.0,5.0,1.0,7.75,6.5,8.0,8.5,8.0,1.50,1.5,1.0,1.0,2.0,2.5,1.0,2.0,1.0,1.5,1.0,1.0,2.5
Africa,East Africa,Sudan,SDN,2019,6.38,5.75,8.5,8.0,9.0,1.5,5.0,8.5,2.0,2.5,8.5,4.0,7.00,5.0,7.5,8.0,7.5,2.83,3.0,2.0,4.0,6.5,3.5,3.5,2.0,4.0,2.5,1.0,1.0,1.0
Africa,East Africa,Tanzania,TZA,2019,5.63,6.25,6.0,6.0,5.5,7.0,7.0,6.0,7.5,4.5,8.0,5.0,5.00,3.0,6.0,5.5,5.5,4.13,6.5,3.0,4.0,5.5,5.0,5.0,4.5,5.5,4.5,1.0,3.0,2.0
Africa,West Africa,Togo,TGO,2019,5.56,5.00,6.0,3.0,5.5,5.0,7.0,5.0,3.0,4.0,6.5,5.0,6.13,1.0,7.5,8.0,8.0,4.04,3.0,2.5,6.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5
Africa,North Africa,Tunisia,TUN,2019,3.26,3.40,4.0,5.0,3.5,1.0,3.5,4.0,2.0,2.0,5.0,4.0,3.13,1.0,3.5,5.0,3.0,5.29,7.0,6.5,4.5,6.5,4.5,4.5,5.5,5.0,5.5,5.0,2.0,7.0
Africa,East Africa,Uganda,UGA,2019,6.05,5.35,4.5,4.0,5.0,7.0,6.5,7.0,5.0,3.0,7.0,4.5,6.75,5.5,6.5,7.5,7.5,3.63,4.0,2.0,4.5,3.5,3.5,3.0,4.5,3.0,3.5,3.0,4.0,5.0
Africa,Southern Africa,Zambia,ZMB,2019,4.86,4.60,5.0,2.5,4.0,8.0,6.0,5.5,4.0,3.0,5.0,3.0,5.13,3.0,4.5,6.0,7.0,3.96,4.5,3.0,4.5,6.5,5.0,4.5,3.5,2.0,5.0,2.0,2.0,5.0
Africa,Southern Africa,Zimbabwe,ZWE,2019,5.41,4.70,5.0,3.0,3.5,4.0,7.5,8.0,4.0,2.5,4.5,5.0,6.13,3.5,7.5,8.5,5.0,3.33,2.5,2.0,3.0,3.5,2.5,3.5,6.0,5.0,3.0,1.0,2.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
